ISO3,Year,WID_income_share_bottom50
COL,2001,6.35
COL,2002,6.35
COL,2003,7.51
COL,2004,7.16
COL,2005,7.76
COL,2006,7.59
COL,2007,7.42
COL,2008,7.24
COL,2009,7.76
COL,2010,7.739999999999999
COL,2011,7.9
COL,2012,8.6
COL,2013,8.559999999999999
COL,2014,9.370000000000001
COL,2015,9.44
COL,2016,9.5
COL,2017,8.41
COL,2018,8.07
COL,2019,7.62
COL,2020,5.609999999999999
COL,2021,6.36
COL,2022,5.84
CRI,1995,9.71
CRI,1996,9.71
CRI,1997,9.71
CRI,1998,9.71
CRI,1999,9.71
CRI,2000,9.71
CRI,2001,9.71
CRI,2002,9.71
CRI,2003,9.71
CRI,2004,9.71
CRI,2005,9.71
CRI,2006,9.71
CRI,2007,9.71
CRI,2008,9.71
CRI,2009,9.71
CRI,2010,9.71
CRI,2011,9.45
CRI,2012,9.35
CRI,2013,8.35
CRI,2014,8.459999999999999
CRI,2015,8.32
CRI,2016,8.15
CRI,2017,8.36
CRI,2018,8.260000000000002
CRI,2019,7.470000000000001
CRI,2020,5.07
CRI,2021,6.76
CRI,2022,8.62
CUB,1995,10.23
CUB,1996,10.23
CUB,1997,10.23
CUB,1998,10.23
CUB,1999,10.23
CUB,2000,10.23
CUB,2001,9.65
CUB,2002,9.69
CUB,2003,10.45
CUB,2004,10.85
CUB,2005,11.31
CUB,2006,11.85
CUB,2007,11.21
